H_mean,S_mean,V_mean,H_std,S_std,V_std,Gray_mean,Gray_std,Edge_density,LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,label
0.203,0.248,0.55,0.155,0.248,0.212,0.526,0.23,0.065,0.101,0.096,0.047,0.067,0.068,0.083,0.061,0.106,0.371,tanpaserangga
0.239,0.399,0.553,0.037,0.057,0.098,0.496,0.095,0.089,0.076,0.1,0.053,0.093,0.138,0.099,0.071,0.097,0.272,belalang
0.303,0.521,0.597,0.035,0.202,0.137,0.5,0.139,0.121,0.052,0.08,0.057,0.117,0.197,0.14,0.074,0.081,0.202,tanpaserangga
0.246,0.442,0.627,0.024,0.077,0.193,0.558,0.181,0.146,0.082,0.086,0.055,0.093,0.153,0.112,0.075,0.081,0.263,belalang
0.199,0.102,0.866,0.186,0.174,0.208,0.851,0.228,0.063,0.028,0.033,0.021,0.067,0.096,0.126,0.037,0.057,0.535,tanpaserangga
0.236,0.461,0.456,0.07,0.167,0.185,0.412,0.189,0.13,0.07,0.088,0.047,0.088,0.166,0.122,0.071,0.083,0.266,belalang
0.232,0.233,0.764,0.193,0.287,0.269,0.74,0.294,0.105,0.06,0.065,0.022,0.062,0.09,0.129,0.035,0.085,0.451,tanpaserangga
0.303,0.521,0.597,0.035,0.202,0.137,0.5,0.139,0.122,0.052,0.08,0.056,0.117,0.197,0.14,0.075,0.08,0.201,tanpaserangga
0.374,0.553,0.444,0.114,0.368,0.094,0.377,0.104,0.062,0.066,0.068,0.053,0.108,0.142,0.149,0.078,0.093,0.244,tanpaserangga
0.228,0.52,0.414,0.043,0.156,0.159,0.364,0.154,0.123,0.066,0.083,0.051,0.091,0.174,0.134,0.075,0.088,0.238,belalang
0.228,0.248,0.78,0.194,0.292,0.239,0.75,0.269,0.096,0.057,0.073,0.022,0.075,0.107,0.14,0.047,0.097,0.382,tanpaserangga
0.228,0.48,0.35,0.085,0.185,0.139,0.297,0.121,0.036,0.036,0.063,0.048,0.104,0.154,0.124,0.08,0.073,0.319,belalang
0.248,0.501,0.475,0.018,0.092,0.165,0.417,0.154,0.117,0.081,0.088,0.055,0.09,0.155,0.111,0.077,0.084,0.26,belalang
